,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Expired,Service Type,Budget Implications,Actual Cost,Est Cost ,Cost variance,Duration  (months),Extended,Ext post contract,Auth to tender,Framework agreement,Initial start date,Initial end date,Ext start date,Ext end date,Actual exp date,Contracts awarded to
5236,Redecoration Works,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 450,000","£ 450,000",£ 0,7,No,No,Standing Order,,20/01/2011,20/08/2011,,,20/08/2011," Architectural Decorators Ltd, Collins (Contractors) Ltd"
5235,Heating Upgrade & Window Replacement,Technical and Service Support,Leavers,Peter Stanning,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 599,621","£ 712,000","(£ 112,379)",7,No,No,Standing Order,,31/01/2011,08/08/2011,,,08/08/2011, Frencon Construction Ltd
5234,Redecoration Works,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 400,000","£ 400,000",£ 0,7,No,No,Standing Order,,20/01/2011,20/08/2011,,,20/08/2011," Smith & O'Sullivan Limited, Collins (Contractors) Ltd, Architectural Decorators Ltd"
5233,Five Yearly Periodic Inspection and Testing of Fixed Electrical Installations 2010,Technical and Service Support,Property Project Delivery,John Allen,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 66,830","£ 95,000","(£ 28,170)",4,No,No,Delegated Authority,,13/12/2010,25/03/2011,,,25/03/2011, Beaumont Ltd
5232,Renewal of Front Appliance Bay Doors,Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 21,500","£ 30,000","(£ 8,500)",5,No,No,Delegated Authority,,18/10/2010,31/03/2011,,,31/03/2011, Arkas Limited
5231,Maintenance and Repair of Trend BMS Systems,Technical and Service Support,Leavers,Robert Pemberton,Not allocated,,No,Yes,Yes,Yes,Works,Expenditure,"£ 52,528","£ 65,000","(£ 12,472)",12,No,No,Delegated Authority,,01/09/2010,31/08/2011,,,31/08/2011, Pillinger Controls Ltd
5230,Renewal of Boiler and Heating Systems,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 76,507","£ 81,000","(£ 4,493)",1,No,No,Delegated Authority,,01/12/2010,16/12/2010,,,16/12/2010, JSMS Ltd
5229,"Examination, testing, servicing and repairs to Lifting and Restraint Systems",Technical and Service Support,Property Project Delivery,John Allen,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 24,975","£ 25,000",(£ 25),7,No,No,Delegated Authority,,01/12/2010,30/06/2011,,,30/06/2011, Delphini Ltd
5228,Provision of Internet Service Provider Services,Information and Communications Technology ,Leavers,Sally Devine,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 684,504","£ 684,504",£ 0,40,No,No,Budget Holder Approval,Buying Solutions,01/12/2010,31/03/2014,,,31/03/2014, Level 3 Communication
5227,Replacement of Heating Boiler on 3rd Floor,Technical and Service Support,Property Project Delivery,Vincent Bagatta,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 16,645","£ 17,000",(£ 355),1,No,No,Delegated Authority,,01/12/2010,17/12/2010,,,17/12/2010, EPS
5226,Replacement of BA Room Extract,Technical and Service Support,Property Project Delivery,Vincent Bagatta,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 18,799","£ 20,000","(£ 1,201)",1,No,No,Delegated Authority,,15/11/2010,06/12/2010,,,06/12/2010, EPS
5225,Gymnasium and fitness equipment maintenance,Procurement,Leavers,Emma Rice,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 150,000","£ 150,000",£ 0,30,Yes,Yes,Budget Holder Approval,ESPO,25/08/2010,31/03/2013,31/03/2016,31/07/2016,31/07/2016, Sportsafe UK Ltd
5224,Accounting Advice Services,Procurement,Leavers,Emma Rice,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 200,000","£ 200,000",£ 0,48,No,No,Budget Holder Approval,Buying Solutions,15/10/2010,14/10/2014,,,14/10/2014, BDO LLP
5223,Security,Technical and Service Support,Property Strategic Planning,Paul Greenwood,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 1,965,000","£ 1,965,000",£ 0,36,Yes,No,Committee Decision,Buying Solutions,01/01/2011,31/12/2013,,31/12/2015,31/12/2015, MITIE Security (London) Limited
5222,Asbestos Removal works,Technical and Service Support,Property Operations Management,Lloyd Bentley,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 58,150","£ 100,000","(£ 41,850)",6,No,No,Standing Order,,31/01/2011,08/08/2011,,,08/08/2011, PA Group (UK) Limited
5221,Financial and commercial advice to FOFT Project,Operational Resilience and Training Directorate,Corporate Procurement Services,Ian Mcdonell,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 99,586","£ 99,586",£ 0,48,No,No,Budget Holder Approval,Buying Solutions,10/11/2010,09/11/2014,,,09/11/2014, Grant Thornton UK LLP
5220,Firefighting Foam and Containers,Procurement,Agency Leavers,V HONEY,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 350,000","£ 240,000","£ 110,000",29,Yes,Yes,Budget Holder Approval,Firebuy Contract ID: 9642,01/02/2011,30/06/2013,,30/06/2014,30/06/2014, Auxquimia S.A.
5219,Concrete Repairs to Drill Tower,Technical and Service Support,Agency Leavers,James Southern,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 54,899","£ 76,975","(£ 22,076)",2,No,No,Delegated Authority,,02/11/2010,14/12/2010,,,14/12/2010, Concrete Repairs Limited
5218,The Installation of Systems to Reduce Air Infiltration in Authority Premises,Technical and Service Support,Leavers,Ian Shaw,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 70,000","£ 70,000",£ 0,24,No,No,Standing Order,,10/10/2010,09/10/2012,,,09/10/2012, The Energy Savers Ltd
5217,"Maintenance of Powered and Manually Operated Appliance Bay Doors, Roller Shutters and Rear Gates",Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,Yes,Yes,Works,Expenditure,"£ 51,528","£ 50,000","£ 1,528",12,No,No,Budget Holder Approval,,01/09/2010,31/08/2011,,,31/08/2011, Arkas Limited
5216,Bus Stop Relocation Works,Technical and Service Support,Property Operations Management,Lloyd Bentley,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 81,218","£ 150,000","(£ 68,782)",2,No,No,Standing Order,,22/11/2010,28/01/2011,,,28/01/2011, FM Conway Ltd
5215,Signage for Fire Stations,Technical and Service Support,Leavers,Nicholas Deacon,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,60,No,No,Delegated Authority,,14/03/2011,13/03/2016,,,13/03/2016, Wood & Wood International Signs Ltd
5214,Incoming MCWS Upgrade,Technical and Service Support,Agency Leavers,L GRIMWOOD,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 16,125","£ 25,000","(£ 8,875)",1,No,No,Delegated Authority,,10/10/2010,05/11/2010,,,05/11/2010, H&V Building Services
5213,Replacement of Electrical Distribution Equipment containing Asbestos Material,Technical and Service Support,Property Project Delivery,John Allen,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 15,700","£ 20,000","(£ 4,300)",1,No,No,Delegated Authority,,06/09/2010,01/10/2010,,,01/10/2010, EPS Group Ltd
5211,Lift Maintenance,Technical and Service Support,Property Project Delivery,John Bridger,Not allocated,,No,Yes,Yes,Yes,Works,Expenditure,"£ 38,750","£ 40,000","(£ 1,250)",12,No,No,Delegated Authority,,01/09/2010,31/08/2011,,,31/08/2011, Jackson Lift Services Ltd
5209,WC & Washroom Alteration Works,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 57,447","£ 75,000","(£ 17,553)",1,No,No,Delegated Authority,,20/09/2010,19/10/2010,,,19/10/2010, Kirkman & Jourdain Ltd
5208,Temporary Labour,Human Resources Management,Corporate Procurement Services,Ian Mcdonell,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 8,236,518","£ 9,000,000","(£ 763,482)",36,No,No,Committee Decision,Thames Valley Police Authority Contract 9115,05/10/2010,04/10/2013,,,04/10/2013, Adecco Group UK & Ireland
5206,Coach and Driver Hire,Procurement,Leavers,Emma Rice,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 120,000","£ 60,000","£ 60,000",24,No,No,Budget Holder Approval,,01/08/2010,31/03/2012,,,31/03/2012, Anderson Travel Limited
5205,Boiler and Heating Installation Renewal,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 117,069","£ 140,000","(£ 22,931)",3,No,No,Delegated Authority,,01/09/2010,23/11/2010,,,23/11/2010, Kier Facilities Services Ltd.
5204,Replacement of Electrical Distribution Equipment Containing Asbestos Material  ,Technical and Service Support,Property Project Delivery,John Allen,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 26,235","£ 20,000","£ 6,235",1,No,No,Delegated Authority,,06/09/2010,01/10/2010,,,01/10/2010, Thomas Sinden Ltd
5203,Licence to use LFB trade marks,Communications,Internal Communications and Events,Marianne Saabye,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Budget Holder Approval,,01/04/2010,31/03/2013,,,31/03/2013, Fire Brigade Models Limited
5202,Freezers and Refrigerators,Procurement,Agency Leavers,V HONEY,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 201,000","£ 201,000",£ 0,28,Yes,Yes,Budget Holder Approval,ESPO Contract 98,01/09/2010,31/01/2013,,31/01/2014,31/01/2014, Gram (UK) Ltd
5201,Boiler Replacement,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 118,222","£ 121,090","(£ 2,868)",2,No,No,Budget Holder Approval,,31/08/2010,26/10/2010,,,26/10/2010, H & V Building Services Ltd
5200,Advertising Services,Communications,Corporate Procurement Services,Ian Mcdonell,Not allocated,,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,Yes,No,Committee Decision,,10/09/2010,09/09/2013,,09/09/2015,09/09/2015, Hunterlodge Advertising
5199,Training in Speaking and Presenting with Impact,Operational Resilience and Training Directorate,Budget,Kavita Chatterjee,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 78,120","£ 72,800","£ 5,320",36,No,No,Budget Holder Approval,,01/08/2010,31/03/2012,,,31/03/2012, Thales Training and Consultancy Limited
5198,Provision of level 2 training in line operation techniques for Fire Rescue Unit staff,Operational Resilience and Training Directorate,Budget,Kavita Chatterjee,Not allocated,,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 429,000","£ 429,000",£ 0,24,No,No,Committee Decision,,01/09/2010,31/03/2012,,,31/03/2012, TAG Ltd
5197,Remodelling & Heating System Upgrade,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 204,772","£ 258,000","(£ 53,228)",4,No,No,Delegated Authority,,03/08/2010,22/11/2010,,,22/11/2010, Quinn London Ltd
5196,Supply & Installation of a Ventilation System,Technical and Service Support,Property Project Delivery,John Allen,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 23,038","£ 20,000","£ 3,038",1,No,No,Delegated Authority,,19/07/2010,09/08/2010,,,09/08/2010, EPS Building Services
5195,Replacement of Office Lighting,Technical and Service Support,Property Project Delivery,Vincent Bagatta,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 14,008","£ 20,000","(£ 5,992)",1,No,No,Delegated Authority,,25/08/2010,25/09/2010,,,25/09/2010, Lovelock & Taylour Ltd
5194,Design & Build CHP,Technical and Service Support,Agency Leavers,James Southern,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 592,269","£ 460,000","£ 132,269",3,No,No,Committee Decision,,27/09/2010,17/12/2010,,,17/12/2010, REAM Contracts
5193,"Provision, Installation and Support of a 1st Tier Storage Solution ",Information and Communications Technology ,Leavers,Sally Devine,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 122,718","£ 600,000","(£ 477,282)",6,No,No,Committee Decision,Buying Solutions,01/10/2010,31/03/2011,,,31/03/2011, Viglen Limited
5192,MUGA Upgrade,Technical and Service Support,Agency Leavers,L GRIMWOOD,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 72,000","£ 72,000",£ 0,1,No,No,Delegated Authority,,22/10/2010,22/11/2010,,,22/11/2010, Smith Construction (Heckington) Ltd
5191,Yard Enhancements,Technical and Service Support,Agency Leavers,L GRIMWOOD,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 1,298,000","£ 1,298,000",£ 0,4,No,No,Delegated Authority,,20/08/2010,20/12/2010,,,20/12/2010, Dyer & Butler Ltd
5190,Funding agreement relating to Local Intervention Fire Education (LIFE),Fire Safety (Statutory and Community),Leavers,Andrew Hickmott,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 12,000","£ 12,000",£ 0,12,No,No,Budget Holder Approval,,01/04/2010,31/03/2011,,,31/03/2011, London Borough of Enfield
5189,Licence to use LFB trade marks,Communications,Leavers,Victoria Allerston,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Budget Holder Approval,,01/04/2010,31/03/2013,,,31/03/2013, Richmond Toys Limited
5187,Heating System Upgrade,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 312,349","£ 300,000","£ 12,349",3,No,No,Standing Order,,30/07/2010,08/10/2010,,,08/10/2010, Flowrite Plumbing & Heating Ltd
5185,Long Service Awards,Human Resources Management,Leavers,John James,Not allocated,,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 224,595","£ 224,595",£ 0,36,No,No,Committee Decision,,25/10/2010,01/10/2011,,,01/10/2011, Edenred (UK Group) LTd
5184,F1 ultra low sulphur diesel,Procurement,Corporate Procurement Services,Keith Cook,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 825,000","£ 825,000",£ 0,24,No,No,Budget Holder Approval,OGC,01/05/2010,30/04/2012,,,30/04/2012, GB Oils Limited
5183,Multi-disciplinary consultancy framework,Technical and Service Support,Leavers,Paul Monforte,Not allocated,,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,Yes,No,Budget Holder Approval,,22/11/2010,21/11/2014,21/11/2015,21/11/2016,21/11/2016," Cyril Sweett Limited, Scott Wilson Limited, Mace Limited"
5182,"The supply, delivery, collection and re-cycling of bedding and sundry items",Procurement,Agency Leavers,V HONEY,Not allocated,,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 180,000","£ 180,000",£ 0,36,Yes,No,Budget Holder Approval,,16/08/2010,15/08/2013,,15/08/2014,15/08/2014, Thomas Kneale & Co Ltd
5181,"Infrastructure and Connectivity for the Provision, Installation and Support of a Wide Area Network ",Information and Communications Technology ,ICT Management,Julian Martin,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 3,689,185","£ 2,500,000","£ 1,189,185",60,No,No,Committee Decision,Buying Solutions,01/08/2010,31/07/2015,,,31/07/2015, British Telecommunications plc
5180,Disposal of textiles including uniforms and clothing for re-use and re-cycling ,Procurement,Sustainable Development,Nicole Fletcher,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,60,No,No,Budget Holder Approval,,23/03/2010,23/03/2015,,,23/03/2015, Lawrence M Barry & Co.
5179,Hot fat fryer demonstrators - cleaning and maintenance services,Fire Safety (Statutory and Community),Training & Release Team,Lynn Ferrier,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 19,800","£ 19,800",£ 0,36,Yes,No,Head of Procurement approval for single tender action,,01/05/2010,30/04/2013,,30/04/2015,30/04/2015," Claren Manufacturing Ltd, Banhauser Ltd"
5178,Installation of a Lightning Protection System,Technical and Service Support,Property Project Delivery,John Allen,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 15,178","£ 12,000","£ 3,178",1,No,No,Delegated Authority,,20/05/2010,05/06/2010,,,05/06/2010, CJS Eastern Ltd
5177,Drill Tower remedial works,Technical and Service Support,Agency Leavers,L GRIMWOOD,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 20,588","£ 25,000","(£ 4,412)",1,No,No,Delegated Authority,,23/07/2010,20/08/2010,,,20/08/2010, FM Restoration Ltd
5176,De-polluted vehicles ,Procurement,Agency Leavers,V HONEY,Not allocated,,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 700,000","£ 700,000",£ 0,36,Yes,No,Committee Decision,,25/10/2010,24/10/2013,,24/10/2014,24/10/2014," E&S. B. Davis Ltd, Aptco Transport & Crane Services"
5173,Operational research and simulation modelling consultancy services,Information and Communications Technology ,Process & System Improvement Team,David Wyatt,Not allocated,,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 120,000","£ 120,000",£ 0,36,Yes,No,Standing Order,,01/09/2010,31/08/2013,,31/08/2015,31/08/2015, Operational Research in Health Limited
5172,Temporary/Portable Toilet Facilities,Operational Policy,Haringey (Team),Spencer Alden-Smith,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 5,337","£ 30,000","(£ 24,663)",36,No,No,Head of Procurement approval for single tender action,,01/07/2010,30/06/2013,,,30/06/2013, Wernick Event Hire Ltd
5171,Demolition and Party Wall Works,Technical and Service Support,Property Operations Management,Lloyd Bentley,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 149,398","£ 147,000","£ 2,398",3,No,No,Budget Holder Approval,,01/07/2010,20/09/2010,,,20/09/2010, Erith Contractors Ltd
5170,Security Penetration Testing Services,Information and Communications Technology ,ICT Management,Christopher Carlton,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 13,300","£ 33,000","(£ 19,700)",2,No,No,Budget Holder Approval,ICT Services 2007,15/03/2010,30/04/2010,,,30/04/2010, Sopra Group Ltd
5169,Training in line operation techniques,Operational Resilience and Training Directorate,Budget,Kavita Chatterjee,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 19,800","£ 19,800",£ 0,6,No,No,Head of Procurement approval for single tender action,,01/04/2010,30/09/2010,,,30/09/2010, TAG Limited
5168,Full Internal and External Redecoration,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 28,850","£ 50,000","(£ 21,150)",2,No,No,Delegated Authority,,20/03/2010,15/05/2010,,,15/05/2010, Smith & O'Sullivan Ltd
5167,Cylinder re-charging and hydraulic testing services ,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Budget Holder Approval,,01/01/2010,31/12/2012,,,31/12/2012, Services provided by LFEPA for British Transport Police Alpha Team
5166,HR - E-Recruitment Systems,Procurement,Leavers,Emma Rice,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 13,550","£ 160,000","(£ 146,450)",48,No,No,Budget Holder Approval,ESPO Contract 3,31/03/2010,30/03/2014,,,30/03/2014, Tribal Resourcing Limited
5165,Supply of IBC Bunds,Procurement,Agency Leavers,V HONEY,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 990,"£ 15,000","(£ 14,010)",1,No,No,Standing Order,,15/04/2010,04/05/2010,,,04/05/2010, New Pig Ltd
5164,Partnership working to improve fire safety activities,Fire Safety (Statutory and Community),Corporate & Commercial,Michele Rolfe,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,£ 0,£ 0,£ 0,36,No,No,Budget Holder Approval,,01/04/2009,31/03/2012,,,31/03/2012, London Borough of Hillingdon
5163,Digital Audio Recording and Transcription Equipment,Procurement,Leavers,Emma Rice,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 38,980","£ 13,000","£ 25,980",36,No,No,Standing Order,,01/03/2010,28/02/2013,,,28/02/2013, Direct Dictation Solutions Ltd.
5162,Full Internal and External Redecoration ,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 20,000","£ 35,000","(£ 15,000)",2,No,No,Standing Order,,01/03/2010,16/04/2010,,,16/04/2010, Corbett & Sons (Builders & Decorators) Limited 
5161,Full Internal and External Redecoration ,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 58,735","£ 85,000","(£ 26,265)",3,No,No,Delegated Authority,,28/02/2010,28/05/2010,,,28/05/2010, PJ Harte (Decorating Contractors) Ltd
5160,Full Internal Redecoration,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 13,103","£ 20,000","(£ 6,897)",2,No,No,Delegated Authority,,01/03/2010,16/04/2010,,,16/04/2010, TW Scott Ltd
5159,Hot Water System & Drying Room Refurbishment ,Technical and Service Support,Property Project Delivery,Gillian Hazlett,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 43,505","£ 42,000","£ 1,505",1,No,No,Delegated Authority,,10/01/2010,08/02/2010,,,08/02/2010, Soden Construction Ltd
5158,Yard Enhancement,Technical and Service Support,Agency Leavers,L GRIMWOOD,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 68,633","£ 41,800","£ 26,833",3,No,No,Standing Order,,15/11/2010,30/01/2011,,,30/01/2011, J. Breheny Contractors Ltd
5157,Provision of Consultancy Services for Procurement of a Redecoration Framework Contract ,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,36,No,No,Standing Order,,07/06/2010,31/05/2013,,,31/05/2013," Scott Wilson Ltd. (for Stages 1, 2 and 3), Faithorn Farrell Timms (for Stages 2 and 3)"
5156,Full Internal and External Redecoration Works,Technical and Service Support,Property Strategic Planning,Francis Daly,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 42,290","£ 60,000","(£ 17,710)",2,No,No,Delegated Authority,,17/02/2010,27/04/2010,,,27/04/2010, Smith & O'Sullivan Limited
5155,Yard Enhancement,Technical and Service Support,Agency Leavers,L GRIMWOOD,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 49,998","£ 71,000","(£ 21,002)",2,No,No,Standing Order,,10/09/2011,10/11/2011,,,10/11/2011, Ringway Infrastructure Services
5154,Property PFI Project - Noise Assessment Survey Consultancy Services,Technical and Service Support,Property Operations Management,James Evans,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 21,150","£ 15,000","£ 6,150",2,No,No,Delegated Authority,,16/02/2010,09/04/2010,,,09/04/2010, Vanguardia Limited
5152,CM and WM Leadership Training Courses - Provision of Exercises and Facilities,Operational Resilience and Training Directorate,Personal Development,Angela Hale,Not allocated,,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 96,375","£ 160,000","(£ 63,625)",12,Yes,No,Committee Decision,,01/04/2010,31/03/2011,,31/03/2012,31/03/2012," The Bowles Organisation Ltd, Response Development Training Ltd"
5151,Provision of P3 Particle Filters,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,36,No,No,Committee Decision,,24/03/2010,23/03/2013,,,23/03/2013, Scott Health & Safety Ltd.
5150,Mechanical & Electrical Fire Safety Works ,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 51,570","£ 56,000","(£ 4,430)",2,No,No,Standing Order,,23/03/2010,24/05/2010,,,24/05/2010, Lovelock & Taylour Ltd
5149,Supply of Computer Consumables,Procurement,Agency Leavers,V HONEY,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 280,000","£ 280,000",£ 0,32,No,No,Budget Holder Approval,OGC & Dorset Police Authority,09/02/2010,30/09/2012,,,30/09/2012, Supplies Team Ltd.
5148,Gymnasium Extension,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 54,679","£ 43,239","£ 11,440",2,No,No,Standing Order,,01/03/2010,16/04/2010,,,16/04/2010, Dray Building Ltd
5147,Licence for Firefighter rap video,Fire Safety (Statutory and Community),Leavers,Andrew Hickmott,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 13,999","£ 15,000","(£ 1,001)",36,No,No,Head of Procurement approval for single tender action,,29/10/2009,28/10/2012,,,28/10/2012, Stephen-Remell Coleman and Harvey Sahota
5145,Multi-disciplinary building consultancy framework contract - evaluation of PQQs consultancy services,Technical and Service Support,Leavers,Paul Monforte,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 16,625","£ 16,000",£ 625,1,No,No,Head of Procurement approval for single tender action,OGC,01/02/2010,01/03/2010,,,01/03/2010, DTZ Ltd.
5144,Replacement of Electrical Distribution Equipment Containing Asbestos Material,Technical and Service Support,Property Project Delivery,John Allen,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 24,277","£ 45,000","(£ 20,723)",1,No,No,Delegated Authority,,15/03/2010,15/04/2010,,,15/04/2010, Thomas Sinden Limited
5143,Hard FM Strategic Review,Technical and Service Support,Leavers,Maurice Wong,Not allocated,,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 12,104","£ 12,000",£ 104,2,No,No,Head of Procurement approval for single tender action,OGC,01/01/2010,28/02/2010,,,28/02/2010, Gardiner & Theobald
5142,FIT Team Alterations,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 87,530","£ 100,000","(£ 12,470)",2,No,No,Committee Decision,,20/02/2010,20/04/2010,,,20/04/2010, Kirkman and Jourdain Ltd
5141,Supply and Delivery of Building Materials,Procurement,Agency Leavers,V HONEY,Not allocated,,No,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 21,363","£ 175,000","(£ 153,637)",43,Yes,No,Budget Holder Approval,OGCBS,01/03/2010,30/09/2013,30/09/2013,30/09/2014,30/09/2014, Grafton Merchanting GB Ltd.
5140,Installation of a replacement direct fired hot water boiler,Technical and Service Support,Leavers,Robert Pemberton,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 21,143","£ 18,000","£ 3,143",1,No,No,Delegated Authority,,22/01/2010,19/02/2010,,,19/02/2010, Kier Facilities Services Ltd.
5139,Installation of a replacement direct fired hot water boiler,Technical and Service Support,Leavers,Robert Pemberton,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 21,463","£ 19,000","£ 2,463",1,No,No,Delegated Authority,,22/01/2010,19/02/2010,,,19/02/2010, Kier Facilities Services Ltd.
5138,Installation of a replacement direct fired hot water boiler,Technical and Service Support,Leavers,Robert Pemberton,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 21,463","£ 19,000","£ 2,463",1,No,No,Delegated Authority,,22/01/2010,19/02/2010,,,19/02/2010, Kier Facilities Services Ltd.
