 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,proclass,proclass
800119822,KIER BUILDING SERV ENGINEERS,10102845,24,43.28,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119822,KIER BUILDING SERV ENGINEERS,10102845,25,69.24,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119822,KIER BUILDING SERV ENGINEERS,10102845,26,57.42,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119823,KIER BUILDING SERV ENGINEERS,10102994,1,142.55,REACTIVE MEP,24/09/18,666.87,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119823,KIER BUILDING SERV ENGINEERS,10102994,2,49.91,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119823,KIER BUILDING SERV ENGINEERS,10102994,3,387.86,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119823,KIER BUILDING SERV ENGINEERS,10102994,4,86.55,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119837,KIER BUILDING SERV ENGINEERS,10102995,1,80.26,REACTIVE MEP,24/09/18,403.02,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119837,KIER BUILDING SERV ENGINEERS,10102995,2,51.93,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119837,KIER BUILDING SERV ENGINEERS,10102995,3,34.62,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119837,KIER BUILDING SERV ENGINEERS,10102995,4,34.62,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119837,KIER BUILDING SERV ENGINEERS,10102995,5,34.11,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119837,KIER BUILDING SERV ENGINEERS,10102995,6,61.13,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119837,KIER BUILDING SERV ENGINEERS,10102995,7,34.62,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119837,KIER BUILDING SERV ENGINEERS,10102995,8,37.11,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119837,KIER BUILDING SERV ENGINEERS,10102995,9,34.62,REACTIVE MEP,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
190918K,TWO SERVICES LTD,101367,1,827.00,CATERING EQUIPMENT,24/09/18,827.00,Fire Stations (South West),Catering,Catering
170918F,GOVNET COMMUNICATIONS,106789,1,395.00,PROFESSIONAL DEVELOPMENT,24/09/18,395.00,People (CPO),Human Resources,Human Resources
170918F,GOVNET COMMUNICATIONS,106916,1,355.50,PROFESSIONAL DEVELOPMENT,24/09/18,355.50,Community Risk Programme (CPO),Human Resources,Human Resources
180918K,KONICA MINOLTA BUSINESS,1139459615/1137259830,1,"1,283.14",HARDWARE PRINTERS,24/09/18,"2,932.03",Communications,ICT,ICT
180918K,KONICA MINOLTA BUSINESS,1139459615/1137259830,2,"1,354.95",HARDWARE PRINTERS,24/09/18,,Communications,ICT,ICT
180918K,KONICA MINOLTA BUSINESS,1139459615/1137259830,3,293.94,HARDWARE PRINTERS,24/09/18,,Communications,ICT,ICT
100918G,A&A ELECTRICAL DISTRIBUTORS,1340547,1,204.60,GENERAL CONSUMABLES,24/09/18,258.60,Procurement,Emergency Services,Building Constr Materials
100918G,A&A ELECTRICAL DISTRIBUTORS,1340547,2,54.00,GENERAL CONSUMABLES,24/09/18,,Procurement,Emergency Services,Building Constr Materials
180918K,SURREY BLIND & CURTAIN CO,15941,1,400.00,REACTIVE BUILDING FABRIC,24/09/18,400.00,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
180918K,SURREY BLIND & CURTAIN CO,15949,1,264.00,REACTIVE BUILDING FABRIC,24/09/18,264.00,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
120918K,NISBETS,17443422,1,417.03,CATERING EQUIPMENT,24/09/18,442.55,Community Safety,Catering,Catering
120918K,NISBETS,17443422,2,16.64,CATERING EQUIPMENT,24/09/18,,Community Safety,Catering,Catering
120918K,NISBETS,17443422,3,8.88,CATERING EQUIPMENT,24/09/18,,Community Safety,Catering,Catering
110918K,NISBETS,17443432,1,512.88,CATERING EQUIPMENT,24/09/18,512.88,Fire Stations (North East),Catering,Catering
190918K,CMT,175147,1,602.00,OPERATIONAL EQUIP-PURCHASE,24/09/18,602.00,Technical and Service Support,Fire & Rescue,Fire & Rescue
190918K,AMAS LTD,1834-815840,1,"5,475.00",RENTS,24/09/18,"5,475.00",Training and Professional Development,Facilities & Management Services,Facilities & Management S
190918K,AMAS LTD,1834-832190,1,"5,475.00",RENTS,24/09/18,"5,475.00",Training and Professional Development,Facilities & Management Services,Facilities & Management S
180918V,DRON & WRIGHT,19468,1,"38,404.20",CONSULTANTS,24/09/18,"61,726.65",Technical and Service Support,Consultancy,Facilities & Management S
180918V,DRON & WRIGHT,19468,2,"23,322.45",CONSULTANTS,24/09/18,,Technical and Service Support,Consultancy,Facilities & Management S
142411,FUTURE INNS CARDIFF BAY,2018UKRO*,1,289.00,ACCOMMODATION BOOKINGS,24/09/18,289.00,Challenge Team,Human Resources,#N/A
180918K,NOREEN TEHRANI ASSOCIATES,21343,1,550.00,CONSULTANTS,24/09/18,550.00,Grenfell Investigation Team,Consultancy,Healthcare
142410,MR WILLIAM NORRIS,220686*,1,"18,012.50",LEGAL PROFESSIONAL FEES-GENERL,24/09/18,"18,012.50",Grenfell Investigation Legal Costs,Legal Services,#N/A
190918K,BANNER GROUP LIMITED,2415341,1,342.40,PUBLIC RELATIONS,24/09/18,"3,909.52",National Fire Cadets Games,Facilities & Management Services,ICT
190918K,BANNER GROUP LIMITED,2415341,2,85.00,ADDITIONAL PURCHASE COSTS,24/09/18,,National Fire Cadets Games,Facilities & Management Services,ICT
190918K,BANNER GROUP LIMITED,2415341,3,"3,448.62",PUBLIC RELATIONS,24/09/18,,National Fire Cadets Games,Facilities & Management Services,ICT
190918K,BANNER GROUP LIMITED,2415341,4,33.50,ADDITIONAL PURCHASE COSTS,24/09/18,,National Fire Cadets Games,Facilities & Management Services,ICT
120918K,CRISPIN HUGHES,2460,1,372.00,FILM & VIDEO,24/09/18,372.00,Community Safety,Facilities & Management Services,Facilities & Management S
800119840,CORPORATE TRAVEL MGMT(NORTH),2732327,1,"1,674.35",TRAVEL BOOKINGS,24/09/18,"1,674.35",Business Change (CPO),Human Resources,Human Resources
190918V,AECOM INFRASTRUCTURE &,28355188,1,"4,889.83",PROF FEES-MISCELLANEOUS,24/09/18,"7,619.18",Technical and Service Support,Consultancy,Consultancy
190918V,AECOM INFRASTRUCTURE &,28355188,2,"2,729.35",PROF FEES-MISCELLANEOUS,24/09/18,,Technical and Service Support,Consultancy,Consultancy
060918K,DRAEGER SAFETY UK LIMITED,2910138252,1,407.00,REPAIR & MAINTENANCE,24/09/18,422.00,Technical and Service Support,Furniture & Soft Furnishings,Fire & Rescue
060918K,DRAEGER SAFETY UK LIMITED,2910138252,2,15.00,REPAIR & MAINTENANCE,24/09/18,,Technical and Service Support,Furniture & Soft Furnishings,Fire & Rescue
180918K,DRAEGER SAFETY UK LIMITED,2910139228,1,"3,182.50",PROTECTIVE EQUIPT - PARTS,24/09/18,"8,370.35",Technical and Service Support,Emergency Services,Fire & Rescue
180918K,DRAEGER SAFETY UK LIMITED,2910139228,2,"4,255.50",PROTECTIVE EQUIPT - PARTS,24/09/18,,Technical and Service Support,Emergency Services,Fire & Rescue
180918K,DRAEGER SAFETY UK LIMITED,2910139228,3,44.55,PROTECTIVE EQUIPT - PARTS,24/09/18,,Technical and Service Support,Emergency Services,Fire & Rescue
180918K,DRAEGER SAFETY UK LIMITED,2910139228,4,347.00,PROTECTIVE EQUIPT - PARTS,24/09/18,,Technical and Service Support,Emergency Services,Fire & Rescue
180918K,DRAEGER SAFETY UK LIMITED,2910139228,5,540.80,PROTECTIVE EQUIPT - PARTS,24/09/18,,Technical and Service Support,Emergency Services,Fire & Rescue
170918F,WATERFRONT MANUFACTURING LTD,30906,1,173.00,UNIFORMS,24/09/18,372.22,Fire Stations (South East),Clothing,Clothing
170918F,WATERFRONT MANUFACTURING LTD,30906,2,199.22,UNIFORMS,24/09/18,,Fire Stations (South East),Clothing,Clothing
190918K,WATERFRONT MANUFACTURING LTD,31023,1,668.76,UNIFORMS,24/09/18,844.76,Central Operations,Clothing,Clothing
190918K,WATERFRONT MANUFACTURING LTD,31023,2,176.00,UNIFORMS,24/09/18,,Central Operations,Clothing,Clothing
180918K,WATERFRONT MANUFACTURING LTD,31042,1,600.00,UNIFORMS,24/09/18,"1,350.00",Fire Stations (Management),Clothing,Clothing
180918K,WATERFRONT MANUFACTURING LTD,31042,2,750.00,UNIFORMS,24/09/18,,Fire Stations (Management),Clothing,Clothing
800119818,ARKAS LIMITED,34532,1,0.61,PLANNED APPLIANCE BAY DOORS,24/09/18,977.00,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,2,1.29,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,3,0.46,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,4,5.40,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,5,0.53,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,6,2.66,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,7,0.46,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,8,1.83,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,9,0.91,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,10,1.37,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,11,0.46,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,12,2.21,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,13,0.38,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,14,1.45,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,15,5.17,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,16,0.91,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,17,2.21,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,18,0.38,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,19,1.75,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,20,0.84,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,21,1.22,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,22,0.30,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,23,2.28,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,24,0.68,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,25,4.49,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,26,5.63,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,27,0.38,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,28,1.83,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,29,0.30,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,30,2.66,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,31,0.61,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,32,3.35,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,33,0.46,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,34,2.21,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,35,0.76,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,36,1.60,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,37,0.61,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,38,126.55,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,39,2.21,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,40,1.07,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,41,0.76,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,42,1.90,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,43,0.84,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,44,2.59,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,45,0.99,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,46,1.60,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,47,0.30,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,48,0.68,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,49,0.30,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,50,0.46,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,51,16.51,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,52,1.67,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,53,2.74,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,54,0.46,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,55,0.30,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,56,1.67,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,57,61.94,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,58,0.91,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,59,1.90,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,60,15.30,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,61,1.22,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,62,1.37,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,63,0.46,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,64,2.13,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,65,4.87,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,66,2.36,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,67,0.46,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,68,0.99,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,69,0.53,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,70,0.30,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,71,26.48,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,72,1.45,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,73,1.37,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,74,1.83,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,75,0.68,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,76,0.30,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,77,0.46,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,78,0.91,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,79,12.40,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,80,0.84,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,81,11.64,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,82,0.99,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,83,1.29,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,84,37.29,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,85,1.29,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,86,1.67,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,87,0.38,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,88,0.38,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,89,0.61,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,90,3.27,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,91,2.74,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,92,1.45,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,93,0.68,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,94,0.91,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,95,0.68,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,96,1.67,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,97,0.38,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,98,3.04,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,99,2.05,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,100,0.68,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,101,1.98,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,102,0.68,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,103,1.37,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,104,1.75,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,105,0.91,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,106,0.46,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,107,0.84,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,108,4.41,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,109,0.76,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,110,2.59,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,111,1.83,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,112,1.22,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,113,1.60,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,114,0.30,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,115,0.84,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,116,27.70,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800119818,ARKAS LIMITED,34532,117,0.46,PLANNED APPLIANCE BAY DOORS,24/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
