IncidentNumber,FinalDescription [at time of mobilisation],DDDateTimeOfCall,IncType,Motive,ActionParent [firefighting action],[Firefighting] Action,PropertyType,ParentPropertyType,PropertyClass,AtStopDamageSpreadSize,OrganisationName,OrganisationDetail,SaonDescription,StreetDescriptor,PostCode,IncGeo_BoroughName,IncGeo_WardName,LondonBorough,MainCause,LocationFireStarted,LocationOfFirestartOther,MainCauseGroup,IgnitionSourceGroup,WereActiveSafetySystemsPresent,NumberOfFireFightingSystems
122550151,AFA ACTUATING,11/09/2015 16:17,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Secondary school,Education,Non Residential,Limited to room of origin,ST PHILOMENA'S SCHOOL,,,POUND STREET,SM5 3PS,SUTTON,CARSHALTON CENTRAL,Outer London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
123216151,SMOKE ISSUING,12/09/2015 21:56,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (low pressure) (HR) - tank supply only,Secondary school,Education,Non Residential,Limited to item 1st ignited,Abbotsfield School,,,CLIFTON GARDENS,UB10 0EX,HILLINGDON,HILLINGDON EAST,Outer London,Heat source and combustibles brought together deliberately,Refuse store/Bin room,,Human Element,Other ignition source,No,0
123460151,AFA ACTUATING,13/09/2015 12:56,Primary Fire,Accidental,Portable extinguishers,"Water, soda acid, gas expulsion etc (water stored pressure)",Secondary school,Education,Non Residential,,Stationers' Crown Wood Academy,,,BEXLEY ROAD,SE9 2PT,GREENWICH,ELTHAM SOUTH,Outer London,"Overheating, unknown cause",IT server/Mainframe room,,Faulty Appliance or Supply,Audio-Visual,No,0
125601151,SMELL OF BURNING,18/09/2015 09:35,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Brettenham Primary School,,,BRETTENHAM ROAD,N18 2ET,ENFIELD,EDMONTON GREEN,Outer London,"Overheating, unknown cause",Other,classroom,Faulty Appliance or Supply,Lighting,No,0
125636151,SMOKE ISSUING IN VICINITY,18/09/2015 11:38,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,QUEEN'S GATE,SW7 5JX,KENSINGTON AND CHELSEA,COURTFIELD,Inner London,Cooking – chip pan/deep fat fryer,Kitchen,,Human Element,Cooker,No,0
127292151,AFA ACTUATING,21/09/2015 17:45,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,,,,MAIN SCHOOL BUILDING,BODNANT GARDENS,SW20 0BZ,MERTON,RAYNES PARK,Outer London,Faulty fuel supplies – Electricity,Kitchen,,Faulty Appliance or Supply,Electrical distribution,No,0
127706151,EIGHT PUMP FIRE  AERIALS X 3   HLR X 1  CU X 3,22/09/2015 15:04,Primary Fire,Accidental,"Hosereels, jets, monitors",Main branch/Jet (J),Infant/Primary school,Education,Non Residential,Roof space and other floors(s),St Joseph's R C Primary School,,,GOODSON ROAD,NW10 9LS,BRENT,HARLESDEN,Outer London,Unsafe use of equipment or appliance (heat source),Roof space,,Human Element,DIY,No,0
128511151,FIRE,24/09/2015 11:06,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,PETER HILLS WITH ST MARYS &ST PAULS PRIMARY SCHOOL,,,BEATSON WALK,SE16 5ED,SOUTHWARK,SURREY DOCKS,Inner London,Cooking – chip pan/deep fat fryer,Kitchen,,Human Element,Kitchen appliances,No,0
135706151,SMELL OF BURNING,09/10/2015 12:09,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Bowes Primary School,,,BOWES ROAD,N11 2HL,ENFIELD,BOWES,Outer London,Faulty fuel supplies – Electricity,Other,Electrical intake room in basement,Faulty Appliance or Supply,Electrical distribution,No,0
138706151,FRONT DOOR ALIGHT,15/10/2015 23:07,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Pre School/nursery ,Education,Non Residential,,SEAHORSES DAY NURSERY,,,EVELYN DENINGTON ROAD,E6 5YU,NEWHAM,BECKTON,Inner London,Heat source and combustibles brought together deliberately,Reception area,,Human Element,Matches and Candles,No,0
141062151,SMELL OF BURNING,21/10/2015 09:40,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to room of origin,,,,WEIR HALL ROAD,N17 8LB,HARINGEY,WHITE HART LANE,Inner London,Faulty fuel supplies – Electricity,External fittings,,Faulty Appliance or Supply,Electrical distribution,No,0
143370151,AFA ACTUATING AND SMOKE ISSUING,26/10/2015 11:35,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,BRIDGE LANE NURSERY,,,BRIDGE LANE,SW11 3AD,WANDSWORTH,ST. MARY'S PARK,Inner London,Fault in equipment or appliance,Kitchen,,Faulty Appliance or Supply,Electrical distribution,No,0
143527151,SMOKE ISSUING,26/10/2015 17:27,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Secondary school,Education,Non Residential,Limited to item 1st ignited,BURNTWOOD SCHOOL,,,BURNTWOOD LANE,SW17 0AQ,WANDSWORTH,EARLSFIELD,Inner London,Fault in equipment or appliance,IT server/Mainframe room,,Faulty Appliance or Supply,Other item,No,0
146938151,FIRE,02/11/2015 16:44,Primary Fire,Accidental,Portable extinguishers,CO2 (carbon dioxide),Infant/Primary school,Education,Non Residential,Limited to room of origin,,,,OSBORNE ROAD,E7 0PH,NEWHAM,FOREST GATE SOUTH,Inner London,Cooking – other cooking,Kitchen,,Human Element,Kitchen appliances,No,0
147383151,SMOKE IN PREMISES,03/11/2015 16:47,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Pre School/nursery ,Education,Non Residential,Limited to room of origin,THE EVELINE DAY AND NURSERY SCHOOLS,,,GERALDINE ROAD,SW18 2QD,WANDSWORTH,FAIRFIELD,Inner London,Fault in equipment or appliance,Bathroom/Toilet,,Faulty Appliance or Supply,Lighting,No,0
147782151,SMOKE AND SMELL OF BURNING COMING FROM,04/11/2015 18:00,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,BOURNE PRIMARY SCHOOL,,,CEDAR AVENUE,HA4 6UJ,HILLINGDON,SOUTH RUISLIP,Outer London,Fault in equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
148617151,SMELL OF SMOKE IN BUILDING,06/11/2015 10:43,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,CALVERTON PRIMARY SCHOOL,,,KING GEORGE AVENUE,E16 3ET,NEWHAM,CUSTOM HOUSE,Inner London,Fault in equipment or appliance,Office,,Faulty Appliance or Supply,Lighting,No,0
149602151,SMELL OF BURNING,07/11/2015 20:47,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,EGERTON ROAD,N16 6UE,HACKNEY,SPRINGFIELD,Inner London,Faulty fuel supplies – Electricity,Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
151460151,FIRE,11/11/2015 14:29,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Infant/Primary school,Education,Non Residential,Limited to room of origin,,,,RAVENSDALE ROAD,N16 6TJ,HACKNEY,SPRINGFIELD,Inner London,"Other intentional burning, going out of control",Roof,,Human Element,Other item,No,0
151976151,FIRE,12/11/2015 09:00,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Infant/Primary school,Education,Non Residential,Limited to room of origin,RICHARD ALIBON PRIMARY SCHOOL,,RICHARD ALIBON PRIMARY SCHOOL,ALIBON ROAD,RM10 8DF,BARKING AND DAGENHAM,ALIBON,Outer London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
160041-17112015,FIRE ALL OUT,17/11/2015 07:59,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,MILLENNIUM MINIS DAY NURSERY,,,TEAL STREET,SE10 0ST,GREENWICH,PENINSULA,Outer London,"Overheating, unknown cause",Other,Play Room,Faulty Appliance or Supply,Electrical distribution,No,0
161436-20112015,SMELL OF BURNING,20/11/2015 10:15,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,BARKING ABBEY SCHOOL,,BARKING ABBEY COMPREHENSIVE SCHOOL,SANDRINGHAM ROAD,IG11 9AG,BARKING AND DAGENHAM,LONGBRIDGE,Outer London,Faulty fuel supplies – Electricity,Other,heating/air conditioning ducts,Faulty Appliance or Supply,Electrical distribution,No,0
164621-27112015,FIRE  CLARE HOUSE SCHOOL  NOT AT NUMBER 2 THEY HAVE MOVED TO THIS ROAD,27/11/2015 08:28,Primary Fire,Accidental,Small means,Water - from bucket/containers,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,OAKWOOD AVENUE,BR3 6PJ,BROMLEY,COPERS COPE,Outer London,Combustible articles too close to heat source (or fire),Roof,,Human Element,Other item,No,0
166792-02122015,FIRE   ONCE UPON A TIME DAY NURSERY NEXT TO OAK HILL ACADEMY,02/12/2015 13:22,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,ASHFORD ROAD,TW13 4QP,HOUNSLOW,FELTHAM WEST,Outer London,Accumulation of flammable material,Store room,,Human Element,White goods,No,0
170158-10122015,FIRE,10/12/2015 08:52,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,DORMERS WELLS HIGH SCHOOL,,,DORMERS WELLS LANE,UB1 3HZ,EALING,DORMERS WELLS,Outer London,Fault in equipment or appliance,Process/Production room,,Faulty Appliance or Supply,Other ignition source,No,0
173786-18122015,SMELL OF SMOKE  COMING FROM TOP FLOOR,18/12/2015 17:31,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,,,,,BEACON ROAD,SE13 6EH,LEWISHAM,LEWISHAM CENTRAL,Inner London,Fault in equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
001891-06012016,FIRE IN OVEN,06/01/2016 09:31,Primary Fire,Accidental,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,SIPSON LANE,UB7 0JG,HILLINGDON,HEATHROW VILLAGES,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
008404-22012016,FIRE,22/01/2016 06:10,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,,WALTHAMSTOW SCHOOL FOR GIRLS,,,CHURCH HILL,E17 9RZ,WALTHAM FOREST,HOE STREET,Outer London,Faulty fuel supplies – Gas,Kitchen,,Faulty Appliance or Supply,Other ignition source,No,0
010669-27012016,SMOKE IN KITCHEN,27/01/2016 13:28,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,STANMORE HILL,HA7 3FD,HARROW,STANMORE PARK,Outer London,Faulty fuel supplies – Electricity,Canteen/Restaurant,,Faulty Appliance or Supply,Other ignition source,No,0
013778-04022016,FIRE SCIENCE PREP ROOM,04/02/2016 07:24,Primary Fire,Accidental,Portable extinguishers,"Water, soda acid, gas expulsion etc (water stored pressure)",Secondary school,Education,Non Residential,Limited to room of origin,DUNRAVEN SECONDARY SCHOOL,,,LEIGHAM COURT ROAD,SW16 2QB,LAMBETH,STREATHAM WELLS,Inner London,Combustible articles too close to heat source (or fire),Other,science preparation room,Human Element,Lighting,No,0
014192-05022016,SMELL OF BURNING NEAR TO TEXACO PETROL STATION,05/02/2016 05:20,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Secondary school,Education,Non Residential,Limited to item 1st ignited,LOWER SCHOOL,,ROBERT CLACK COMPREHENSIVE SCHOOL ANNEX,GREEN LANE,RM8 1AL,BARKING AND DAGENHAM,WHALEBONE,Outer London,Heat source and combustibles brought together deliberately,Store room,,Human Element,Matches and Candles,No,0
014467-05022016,SMELL OF SMOKE,05/02/2016 18:40,Primary Fire,Accidental,Small means,Removal from/of heat source,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,ASQUITH COURT PRE SCHOOL & NURSERY,,,RADBOURNE ROAD,SW12 0EF,LAMBETH,THORNTON,Inner London,Faulty fuel supplies – Electricity,Corridor/Hall,,Faulty Appliance or Supply,Electrical distribution,No,0
015636-08022016,FIRE IN KITCHEN,08/02/2016 13:00,Primary Fire,Accidental,"Hosereels, jets, monitors",Main branch/Jet (J),Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,GREENSLADE PRIMARY SCHOOL,,,ERINDALE,SE18 2QQ,GREENWICH,SHOOTERS HILL,Outer London,Cooking – other cooking,Kitchen,,Human Element,Kitchen appliances,No,0
024841-01032016,SMELL OF BURNING FROM ELECTRICAL INTAKE CUPBOARD,01/03/2016 11:43,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,SANDHURST JUNIOR SCHOOL,,,MINARD ROAD,SE6 1NW,LEWISHAM,CATFORD SOUTH,Inner London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
025213-02032016,FIRE,02/03/2016 06:25,Primary Fire,Accidental,Portable extinguishers,"Water, soda acid, gas expulsion etc (water stored pressure)",Infant/Primary school,Education,Non Residential,Limited to room of origin,,,,FIRCROFT ROAD,SW17 7PP,WANDSWORTH,TOOTING,Inner London,Faulty fuel supplies – Electricity,Office,,Faulty Appliance or Supply,Lighting,No,0
026250-04032016,SMOKING ISSUING FROM NURSERY,04/03/2016 16:30,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - augmented supply,Pre School/nursery ,Education,Non Residential,Limited to room of origin,,,LONDON ROAD NURSERY,LONDON ROAD,HA9 7EX,BRENT,WEMBLEY CENTRAL,Outer London,Unsafe use of equipment or appliance (heat source),Meeting room,,Human Element,Heating appliances,No,0
027369-07032016,FIRE ALL OUT,07/03/2016 12:43,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,LITTLE INSPIRATIONS DAY NURSERY,,,THE GREEN,TW2 5AB,RICHMOND UPON THAMES,SOUTH TWICKENHAM,Outer London,Combustible articles too close to heat source (or fire),Other,classroom,Human Element,Lighting,No,0
027704-08032016,FIRE ALL OUT   BRIGADE REQUIRED,08/03/2016 12:59,Primary Fire,Not Known,None,No firefighting,Secondary school,Education,Non Residential,Limited to room of origin,THE CITY ACADEMY,,,HOMERTON ROW,E9 6EA,HACKNEY,HOMERTON,Inner London,Playing with fire (or heat source),Bathroom/Toilet,,Human Element,Matches and Candles,Yes,1
033654-22032016,EIGHT PUMP  FIRE AERIALS 1 - PERSONS REPORTED RVP NIGHTINGALE LANE AND NIGHTINGALE WALK,22/03/2016 06:08,Primary Fire,Accidental,"Hosereels, jets, monitors",Main branch/Jet (J),Infant/Primary school,Education,Non Residential,Limited to 2 floors (not whole building),OLIVER HOUSE PREP SCHOOL,,,NIGHTINGALE LANE,SW4 9AH,WANDSWORTH,BALHAM,Inner London,Fault in equipment or appliance,Meeting room,,Faulty Appliance or Supply,Electrical distribution,No,0
034220-23032016,FIRE,23/03/2016 08:52,Primary Fire,Accidental,"Hosereels, jets, monitors",Main branch/Jet (J),Secondary school,Education,Non Residential,Limited to room of origin,,,,AIRLIE GARDENS,W8 7AF,KENSINGTON AND CHELSEA,CAMPDEN,Inner London,Unsafe use of equipment or appliance (heat source),Process/Production room,,Human Element,Other ignition source,Yes,1
034788-24032016,FIRE ALL OUT DARRICK WOOD JUNIOR SCHOOL,24/03/2016 13:25,Late Call,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,DARRICK WOOD JUNIOR SCHOOL,,,LOVIBONDS AVENUE,BR6 8ER,BROMLEY,FARNBOROUGH AND CROFTON,Outer London,"Overheating, unknown cause",Utility room,,Faulty Appliance or Supply,Electrical distribution,No,0
039616-03042016,FIRE ALL OUT BRIGADE REQUIRED AT HIGHGATE JUNIOR SCHOOL HAMPSTEAD LANE N6  SECURITY GUARD WILL MEET,03/04/2016 22:00,Primary Fire,Accidental,Portable extinguishers,"Water, soda acid, gas expulsion etc (water stored pressure)",Infant/Primary school,Education,Non Residential,Limited to room of origin,,,,HAMPSTEAD LANE,N6 4SA,HARINGEY,HIGHGATE,Inner London,Fault in equipment or appliance,Utility room,,Faulty Appliance or Supply,Electrical distribution,No,0
043190-12042016,SMOKE ISSUING IN THE VICINITY  CALLER STATES IT MAY BE FROM THE BOILER ROOM IN THE BLOCK OF FLATS,12/04/2016 18:47,Primary Fire,Deliberate,Portable extinguishers,"Water, soda acid, gas expulsion etc (water stored pressure)",Infant/Primary school,Education,Non Residential,Limited to room of origin,,,,AINSWORTH WAY,NW8 0SR,CAMDEN,KILBURN,Inner London,Heat source and combustibles brought together deliberately,External structures,,Human Element,Matches and Candles,No,0
044237-15042016,FIRE,15/04/2016 08:50,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to room of origin,,,SCIENCE AND CDT BLOCK,LEY STREET,IG2 7BT,REDBRIDGE,NEWBURY,Outer London,Fault in equipment or appliance,Other,classroom,Faulty Appliance or Supply,Other ignition source,No,0
046481-20042016,AFA ACTUATING,20/04/2016 13:37,Primary Fire,Deliberate,None,No firefighting,Pre School/nursery ,Education,Non Residential,Limited to room of origin,NORTHOLT PARK CHILDRENS' CENTRE,,,NEWMARKET AVENUE,UB5 4HB,EALING,NORTHOLT MANDEVILLE,Outer London,Heat source and combustibles brought together deliberately,Utility room,,Human Element,Other ignition source,No,0
047342-22042016,FOUR PUMP FIRE  RVP J/O MILFORD CLOSE,22/04/2016 08:50,Primary Fire,Accidental,"Hosereels, jets, monitors",Main branch/Jet (J),Infant/Primary school,Education,Non Residential,Limited to floor of origin (not whole building),,,,BEDONWELL ROAD,DA17 5PF,BEXLEY,LESNES ABBEY,Outer London,Fault in equipment or appliance,Store room,,Faulty Appliance or Supply,Not confirmed,No,0
047393-22042016,FIRE,22/04/2016 10:45,Primary Fire,Deliberate,Portable extinguishers,"Water, soda acid, gas expulsion etc (water stored pressure)",Infant/Primary school,Education,Non Residential,Limited to room of origin,,,,WARREN ROAD,NW2 7LL,BRENT,DOLLIS HILL,Outer London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Smoking related,No,0
047449-22042016,FIRE,22/04/2016 12:05,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,ROYAL HILL,SE10 8RZ,GREENWICH,GREENWICH WEST,Outer London,Faulty fuel supplies – Electricity,Meeting room,,Faulty Appliance or Supply,Electrical distribution,No,0
047533-22042016,BIN ALIGHT IN TOILET,22/04/2016 16:45,Primary Fire,Accidental,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,THE HOLY CROSS SCHOOL,,,SANDAL ROAD,KT3 5AR,KINGSTON UPON THAMES,ST. JAMES,Outer London,Unsafe use of heat source - due to unsafe disposal,Bathroom/Toilet,,Human Element,Smoking related,No,0
053302-05052016,FOUR PUMP FIRE,05/05/2016 13:15,Primary Fire,Accidental,"Hosereels, jets, monitors",Main branch/Jet (J),Pre School/nursery ,Education,Non Residential,External roof only,,,,OAKS LANE,IG2 7PL,REDBRIDGE,ALDBOROUGH,Outer London,"Other intentional burning, going out of control",Roof,,Human Element,DIY,No,0
054750-07052016,SMOKE ISSUING IN VICINITY OF SCHOOL   MULTIPLE CALLS  J/O OLD JAMES STREET,07/05/2016 23:13,Primary Fire,Deliberate,"Hosereels, jets, monitors",Main branch/Jet (J),Infant/Primary school,Education,Non Residential,Limited to floor of origin (not whole building),RYE OAK PRIMARY,,,WHORLTON ROAD,SE15 3PD,SOUTHWARK,THE LANE,Inner London,Heat source and combustibles brought together deliberately,Refuse store/Bin room,,Human Element,Other ignition source,Unknown,0
056921-12052016,FOUR PUMP FIRE,12/05/2016 03:22,Primary Fire,Accidental,Portable extinguishers,Dry powder (DP),Pre School/nursery ,Education,Non Residential,Limited to floor of origin (not whole building),TWICKENHAM PARK DAY NURSERY,,,CAMBRIDGE ROAD,TW1 2HN,RICHMOND UPON THAMES,TWICKENHAM RIVERSIDE,Outer London,Faulty fuel supplies – Electricity,Kitchen,,Faulty Appliance or Supply,Electrical distribution,No,0
057012-12052016,AFA ACTUATING EXTRA PA REQUESTED FROM INCIDENT,12/05/2016 09:20,Primary Fire,Accidental,"Hosereels, jets, monitors",Main branch/Jet (J),Infant/Primary school,Education,Non Residential,Limited to floor of origin (not whole building),,,,WIMBLEDON HILL ROAD,SW19 7PA,MERTON,HILLSIDE,Outer London,Natural occurrence,Other,staff locker room,Other,Other ignition source,No,0
059737-18052016,SMOKE ISSUING,18/05/2016 07:56,Primary Fire,Accidental,Small means,Water - from bucket/containers,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,NELSON STREET,E1 2DE,TOWER HAMLETS,WHITECHAPEL,Inner London,Unsafe use of heat source - due to unsafe disposal,External structures,,Human Element,Smoking related,No,0
059765-18052016,FOUR PUMP FIRE,18/05/2016 09:33,Primary Fire,Accidental,"Hosereels, jets, monitors",Main branch/Jet (J),Infant/Primary school,Education,Non Residential,Limited to 2 floors (not whole building),BARROW HEDGES PRIMARY SCHOOL,,,HARBURY ROAD,SM5 4LA,SUTTON,CARSHALTON SOUTH AND CLOCKHOUSE,Outer London,Unsafe use of equipment or appliance (heat source),Roof,,Human Element,Other ignition source,No,0
059902-18052016,AFA ACTUATING,18/05/2016 13:25,Primary Fire,Deliberate,None,No firefighting,Secondary school,Education,Non Residential,Limited to room of origin,,,,UPTON LANE,E7 9PR,NEWHAM,GREEN STREET WEST,Inner London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Matches and Candles,No,0
059933-18052016,FIRE IN CATERING ROOM   CALLER UNSURE WHAT IS ON FIRE,18/05/2016 14:30,Primary Fire,Accidental,Small means,Water - domestic supply,Secondary school,Education,Non Residential,Limited to room of origin,SOUTHBOROUGH HIGH SCHOOL,,,HOOK ROAD,KT6 5AS,KINGSTON UPON THAMES,TOLWORTH AND HOOK RISE,Outer London,Unsafe use of equipment or appliance (heat source),Other,Chemical Prep Room,Human Element,Other ignition source,Unknown,0
063091-25052016,TREE ALIGHT IN GROUNDS OF  CORBETTS TEY SCHOOL,25/05/2016 01:18,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Infant/Primary school,Education,Non Residential,Limited to room of origin,,,,HARWOOD HALL LANE,RM14 2YQ,HAVERING,UPMINSTER,Outer London,Heat source and combustibles brought together deliberately,External structures,,Human Element,Other ignition source,Unknown,0
063227-25052016,AFA ACTUATING,25/05/2016 10:53,Primary Fire,Deliberate,None,No firefighting,Secondary school,Education,Non Residential,Limited to item 1st ignited,BARNHILL COMMUNITY HIGH,,,YEADING LANE,UB4 9LE,HILLINGDON,BARNHILL,Outer London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Matches and Candles,No,0
073844-15062016,AFA ACTUATING FULL ATTENDANCE REQESTED FROM INCIDENT,15/06/2016 09:06,Primary Fire,Accidental,Portable extinguishers,"Water, soda acid, gas expulsion etc (water stored pressure)",Secondary school,Education,Non Residential,Limited to item 1st ignited,,,THEATRE,SILK STREET,EC2Y 8DS,CITY OF LONDON,CRIPPLEGATE,Inner London,Combustible articles too close to heat source (or fire),Corridor/Hall,,Human Element,DIY,No,0
074352-16062016,FIRE,16/06/2016 09:54,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,LINDSAY PARK NURSERY SCHOOL,THE MALL,HA3 9TG,BRENT,KENTON,Outer London,Fault in equipment or appliance,Other,classroom,Faulty Appliance or Supply,Lighting,No,0
083151-01072016,SMOKE IN KITCHEN COMPLETION OF ATTENDANCE,01/07/2016 11:00,Primary Fire,Accidental,Small means,Removal from/of heat source,Pre School/nursery ,Education,Non Residential,,,,LAVENDER CHILDREN'S CENTRE,LONDON ROAD,CR4 3LB,MERTON,LAVENDER FIELDS,Outer London,Combustible articles too close to heat source (or fire),Kitchen,,Human Element,Cooker,No,0
083164-01072016,FIRE ALL OUT,01/07/2016 11:17,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,HIGHGATE PRIMARY SCHOOL,,,NORTH HILL,N6 4ED,HARINGEY,HIGHGATE,Inner London,Playing with fire (or heat source),Bathroom/Toilet,,Human Element,Smoking related,No,0
085228-05072016,AFA ACTUATING,05/07/2016 13:33,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,,,,,TURNHAM ROAD,SE4 2HH,LEWISHAM,TELEGRAPH HILL,Inner London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
086502-08072016,AFA ACTUATING,08/07/2016 07:10,Primary Fire,Accidental,None,Burned out (Allowed to burn under control),Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,TURNHAM ROAD,SE4 2HH,LEWISHAM,TELEGRAPH HILL,Inner London,Faulty fuel supplies – Electricity,Utility room,,Faulty Appliance or Supply,Electrical distribution,No,0
086755-08072016,SMELL OF BURNING,08/07/2016 18:16,Primary Fire,Accidental,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Infant/Primary school,Education,Non Residential,External roof only,CHEAM PARK FARM JUNIOR SCHOOL,,,KINGSTON AVENUE,SM3 9UE,SUTTON,STONECOT,Outer London,Combustible articles too close to heat source (or fire),Roof,,Human Element,Heating appliances,No,0
089690-14072016,SMOKE ISSUING FROM ELECTRICAL BOX,14/07/2016 10:59,Primary Fire,Accidental,None,No firefighting,Infant/Primary school,Education,Non Residential,,,,,MALVERN PLACE,NW6 5PX,BRENT,KILBURN,Outer London,"Overheating, unknown cause",Corridor/Hall,,Faulty Appliance or Supply,Electrical distribution,Unknown,0
089916-14072016,SMELL OF ELECTRICAL BURNING CRACKLING SOUND  FROM MAIN ELECTRICAL INTAKE IN CANTEEN AT REAR OF SCHOO,14/07/2016 20:44,Primary Fire,Accidental,Small means,Disconnection of fuel supply,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,OSIDGE PRIMARY SCHOOL,,,CHASE SIDE,N14 5HD,BARNET,BRUNSWICK PARK,Outer London,Faulty fuel supplies – Electricity,Other,Electrical Intake room,Faulty Appliance or Supply,Electrical distribution,No,0
090201-15072016,FIRE IN WOODEN BUILDING,15/07/2016 13:50,Primary Fire,Deliberate,"Hosereels, jets, monitors",Hosereel (high pressure) (HRJ) - tank supply only,Infant/Primary school,Education,Non Residential,Limited to room of origin,THORPE HALL PRIMARY SCHOOL,,,HALE END ROAD,E17 4DP,WALTHAM FOREST,HALE END AND HIGHAMS PARK,Outer London,Heat source and combustibles brought together deliberately,Other,Classroom,Human Element,Matches and Candles,No,0
092560-19072016,CABLE ALIGHT,19/07/2016 12:57,Primary Fire,Accidental,Portable extinguishers,CO2 (carbon dioxide),Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,MENORAH FOUNDATION SCHOOL,,,ABBOTS ROAD,HA8 0QS,BARNET,BURNT OAK,Outer London,"Overheating, unknown cause",Corridor/Hall,,Faulty Appliance or Supply,Electrical distribution,No,0
